,confidence,orig,name,school
514,high,Pontificia Universidad Catolica De Chile,Pontificia Universidad Catolica de Chile,
515,high,Istanbul Technical University,Istanbul Technical University,
516,high,Facultes Universitaires Saint-Louis,Facultés Universitaires Saint-Louis,
517,not changed,UniversitÃ  degli Studi di Roma Tor Vergata,UniversitÃ  degli Studi di Roma Tor Vergata,
518,not changed,Holborn College,Holborn College,
519,not changed,ITAM Instituto Tecnologico Autonomo de Mexico,ITAM Instituto Tecnologico Autonomo de Mexico,
520,high,Universidad Torcuato Di Tella,Universidad Torcuato di Tella,
521,high,Capital University Of Economics And Business,Capital University of Economics and Business,
522,high,Bates College,Bates College,
523,high,Ecole Polytechnique,Ecole Polytechnique,
524,high,University of Ottawa,University of Ottawa,
525,ratio-92,Instituto Tecnologico Autonomo De Mexico,Instituto Tecnológico Autonómo de México,
526,high,University of Melbourne,University of Melbourne,
527,high,St. Olaf College,St. Olaf College,
528,high,University Of Georgia,University of Georgia,
529,high,Baylor University,Baylor University,
530,high,University of Tartu,University of Tartu,
531,high,George Washington University,George Washington University,
532,token-100,Sciences Po: Institut D'etudes Politiques de Paris,Institut d'Etudes Politiques de Paris (Sciences Po),
533,partial-100,Budapest University Of Economic Sciences,Budapest University of Economic Sciences and Public Administration,
534,ratio-92,University Of Arkansas--Fayetteville,University of Arkansas at Fayetteville,
535,high,Chulalongkorn University,Chulalongkorn University,
536,high,The University of Hong Kong,University of Hong Kong,
537,high,University Of Zagreb,University of Zagreb,
538,high,Universidad Nacional del Nordeste,Universidad Nacional del Nordeste,
539,high,Hillsdale College,Hillsdale College,
540,high,Universidad Del Pacifico,Universidad del Pacifico,
541,high,Universidad Nacional De Asuncion,Universidad Nacional de Asunción,
542,high,Universidad De Costa Rica,Universidad de Costa Rica,
543,high,Gettysburg College,Gettysburg College,
544,high,Western Kentucky University,Western Kentucky University,
545,high,Pontificia Universidade Catolica Do Rio De Janeiro,Pontifícia Universidade Católica do Rio de Janeiro,
546,high,M.V. Lomonosov Moscow State University,Moscow State University,
547,high,Washburn University Of Topeka,Washburn University,
548,high,Michigan Technological University,Michigan Technological University,
549,not changed,Lycee louis Le Grand,Lycee louis Le Grand,
550,high,University Of Alabama In Huntsville,University of Alabama - Huntsville,
551,high,American University of Sharjah,American University of Sharjah,
552,high,University Of Toronto Schools,University of Toronto,schools
553,high,Manhattan College,Manhattan College,
554,high,University Of Oxford,University of Oxford,
555,high,Sabanci University,Sabanci University,
556,partial-100,California Polytechnic State University,California Polytechnic State University - San Luis Obispo,
557,high,Instituto Tecnologico y de Estudios Superiores de Monterrey (ITE,Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM),
558,high,Nanjing University of Posts & Telecommunications,Nanjing University of Posts and Telecommunications,
559,high,National University of Sciences and Technology,National University of Science and Technology,
560,not changed,"Rutgers, The State Univerisity of New Jersey-New Brunswick","Rutgers, The State Univerisity of New Jersey-New Brunswick",
561,high,Shandong Normal University,Shandong Normal University,
562,not changed,St. Xavier's College,St. Xavier's College,
563,high,Chonbuk National University,Chonbuk National University,
564,high,University of Nottingham Malaysia Campus,"University of Nottingham, Malaysia Campus",
565,high,Washington University in St Louis,Washington University in St. Louis,
566,token-97,Laval University,Université Laval,
567,high,University Of Notre Dame,University of Notre Dame,
568,not changed,Universita Degli Studi Di Pavia,Universita Degli Studi Di Pavia,
569,high,Tianjin University of Finance and Economics,Tianjin University of Finance & Economics,
570,ratio-91,Fundacao Getulio Vargas,Fundação Getulio Vargas,
571,high,Novosibirsk State Technical University,Novosibirsk State Technical University,
572,high,College Of William And Mary In Virginia,College of William and Mary,
573,high,Jilin univerisity,Jilin University,
574,high,Bryn Mawr College,Bryn Mawr College,
575,high,University Of Windsor,University of Windsor,
576,ratio-92,Bandung Institute Of Technology,Tatung Institute of Technology,
577,high,Babson College,Babson College,
578,high,Xavier University,Xavier University,
579,high,Lehigh University,Lehigh Univervsity,
580,high,University of Oxford-Balliol College,University of Oxford,balliol college
581,high,American University of Central Asia,American University of Central Asia,
582,not changed,Federal University of Rio de Janeiro,Federal University of Rio de Janeiro,
583,high,Lahore University Management  Science,Lahore University of Management Sciences,
584,high,Huazhong University Of Science And Technology,Huazhong University of Science and Technology,
585,high,University Of London,University of London,
586,partial-97,Universidad Catolica Boliviana,"Universidad Católica Boliviana, Cochabamba",
587,not changed,"Graduate School Of Economics, Getulio Vargas Fndn.","Graduate School Of Economics, Getulio Vargas Fndn.",
588,high,Moscow State University,Moscow State University,
589,high,Moscow Institute Of Physics & Technology,Moscow Institute of Physics and Technology,
590,not changed,University Of Mannheim,University Of Mannheim,
591,high,Jilin University,Jilin University,
592,ratio-91,National Economics University,Hanoi National Economics University,
593,high,"Indian Institute Of Technology, Kharagpur","Indian Institute of Technology, Kharagpur",
594,high,Tongji University,Tongji University,
595,high,Cairo University,Cairo University,
596,high,University Of Moratuwa,University of Moratuwa,
597,not changed,Universita Degli Studi Di Parma,Universita Degli Studi Di Parma,
598,high,University Of Wyoming,University of Wyoming,
599,high,University Of Oslo,University of Oslo,
600,not changed,Frankfurt School of Finance & Management,Frankfurt School of Finance & Management,
601,high,University Of Nebraska--Lincoln,University of Nebraska - Lincoln,
602,high,Pomona College,Pomona College,
603,not changed,Universitat Zurich,Universitat Zurich,
604,high,Yeshiva University,Yeshiva University,
605,high,University Of Delaware,University of Delaware,
606,not changed,Fundacao Getulio Vargas - Escola de Economia de Sao Paulo,Fundacao Getulio Vargas - Escola de Economia de Sao Paulo,
607,high,Warsaw School Of Economics,Warsaw School of Economics,
608,not changed,Ludwig-Maximilians-University Munich,Ludwig-Maximilians-University Munich,
609,high,University Of Toronto,University of Toronto,
610,high,Universidade De Brasilia,Universidade de Brasília,
611,not changed,University of Trier,University of Trier,
612,high,Southeast University,Southeast University,
613,high,College Of Charleston,College of Charleston,
614,not changed,Universita Degli Studi Di Modena,Universita Degli Studi Di Modena,
615,high,Dongbei University of Finance & Economics,Dongbei University of Finance And Economics,
616,high,Lake Forest College,Lake Forest College,
617,high,Sophia University,Sophia University,
618,high,Davidson College,Davidson College,
619,partial-100,Westminster College,Westminster College Fulton,
620,high,Koc University,Koc University,
621,high,Open University of Israel,Open University of Israel,
622,not changed,Ecole Normale Superieure D'ulm,Ecole Normale Superieure D'ulm,
623,not changed,Centro De Investigacion Y Docenias Economicas,Centro De Investigacion Y Docenias Economicas,
624,high,Universite De Toulouse-Le-Mirail (toulouse Ii),Université de Toulouse-le-Mirail (Toulouse II),
625,high,Vassar College,Vassar College,
626,high,Universidad Del Pais Vasco,Universidad del País Vasco,
627,high,Ohio Wesleyan University,Ohio Wesleyan University,
628,high,University Of Oregon,University of Oregon,
629,high,University Of Oxford-Pembroke College,University of Oxford,pembroke college
630,not changed,Shri Ram College Of Commerce,Shri Ram College Of Commerce,
631,high,University Of Queensland,University of Queensland,
632,high,University Of North Carolina At Chapel Hill,University of North Carolina,
633,high,Ben-Gurion University Of The Negev,Ben-Gurion University of the Negev,
634,not changed,University Of Brasilia,University Of Brasilia,
635,high,Knox College,Knox College,
636,high,Lanzhou University,Lanzhou University,
637,not changed,Universita Degli Studi Di Napoli,Universita Degli Studi Di Napoli,
638,high,University Of Massachusetts At Boston,University of Massachusetts at Boston,
639,not changed,"Imperial College Of Science, Technology & Medicine","Imperial College Of Science, Technology & Medicine",
640,not changed,Universita Degli Studi Di Milano,Universita Degli Studi Di Milano,
641,high,City University Of New York,City University of New York,
642,high,VIT University (Vellore Institute of Technology),Vellore Institute of Technology,
643,high,Quinnipiac College,Quinnipiac College,
644,high,Foreign Trade University,Foreign Trade University,
645,high,Beloit College,Beloit College,
646,partial-98,Plymouth State University,Utah State University,
647,high,University Of Western Ontario,University of Western Ontario,
648,high,Australian National University,Australian National University,
649,high,Pontificia Universidad Javeriana Cali,Pontificia Universidad Javeriana,
650,token-100,Martin Luther University,Martin University,
651,high,University Of Melbourne,University of Melbourne,
652,high,University Of Minnesota--Minneapolis-St. Paul,University of Minnesota,
653,ratio-94,Universite Paris Dauphine (Paris IX),Université Paris-Dauphine (Paris IX),
654,high,University Of Oklahoma,University of Oklahoma,
655,high,Universidade Estadual De Campinas,Universidade Estadual de Campinas,
656,high,University Of Cincinnati,University of Cincinnati,
657,high,Lillehammer University College,Lillehammer University College,
658,not changed,Univ. Catolica 'nuestra Senora De La Asuncion',Univ. Catolica 'nuestra Senora De La Asuncion',
659,high,University Of Durham,University of Durham,
660,partial-100,Carroll University,John Carroll University,
661,not changed,Universita Degli Studi Di Firenze,Universita Degli Studi Di Firenze,
662,token-100,State University Of New York At Farmingdale,New York University,
663,high,Auburn University,Auburn University,
664,high,Wesleyan University,Wesleyan University,
665,high,Babcock University,Babcock University,
666,token-100,National Technical University of Ukraine,National University,
667,not changed,B.M.S. College of Engineering,B.M.S. College of Engineering,
668,high,International Christian University,International Christian University,
669,high,Illinois State University,Illinois State University,
670,high,East China Normal University,East China Normal University,
671,high,Universidade Federal Fluminense,Universidade Federal Fluminense,
672,token-100,Wroclaw University of Economics,University of Wroclaw,
673,high,Franklin And Marshall College,Franklin and Marshall College,
674,high,Athens University of Economics and Business,Athens University of Economics and Business,
675,high,Seton Hall University,Seton Hall University,
676,high,University Of Ottawa,University of Ottawa,
677,high,"Hunter College, City University Of New York",City University of New York,hunter college
678,high,Universitat Hamburg,Universität Hamburg,
679,high,Ecole Nationale Des Ponts Et Chaussees,Ecole Nationale des Ponts et Chausees,
680,high,University Of Tennessee At Knoxville,University of Tennessee - Knoxville,
681,high,New  York University,New York University,
682,high,Universidad De Montevideo,Universidad de Montevideo,
683,high,University Of Western Australia,University of Western Australia,
684,high,University Of Alberta,University of Alberta,
685,high,Shanghai International Studies University,Shanghai International Studies University,
686,ratio-91,Tianjin Foreign Studies University,Beijing Foreign Studies University,
687,partial-100,Texas State University,Southwest Texas State University,
688,ratio-94,The Interdisciplinary Center Herzliya,The Interdisciplinary Center Herzliya,
689,not changed,Ibmec Sao Paulo,Ibmec Sao Paulo,
690,high,Higher School of Economics,Higher School of Economics,
691,high,Boise State University,Boise State University,
692,high,William Marsh Rice University,Rice University,
693,high,North Central College,North Central College,
694,high,Illinois College,Illinois College,
695,high,Shandong University,Shandong University,
696,high,University of Macau,University of Macau,
697,not changed,Luiss Guido Carli University,Luiss Guido Carli University,
698,high,University of British Columbia,University of British Columbia,
699,high,University Of York,University of York,
700,high,Shanghai University Of Finance And Economics,Shanghai University of Finance and Economics,
701,high,University Of Oxford-Lincoln College,University of Oxford,lincoln college
702,high,Universidade Federal Do Rio Grande Do Sul,Universidade Federal do Rio Grande do Sul,
703,high,Canisius College,Canisius College,
704,high,Furman University,Furman University,
705,high,Universidade Tecnica De Lisboa,Universidade Tecnica de Lisboa,
706,token-96,Instituto TecnolÃ³gico AutÃ³nomo de Mexico,Instituto Tecnológico Autonómo de México,
707,high,Universite Pierre Et Marie Curie (paris Vi),Université Pierre et Marie Curie (Paris VI),
708,high,University Of Auckland,University of Auckland,
709,ratio-93,University of Prishtina,University of Priština,
710,not changed,Eidgenossische Technische Hochschule Zurich,Eidgenossische Technische Hochschule Zurich,
711,partial-100,Wheaton College,Wheaton College Massachusetts,
712,high,Northeastern University,Northeastern University,
713,high,University Of Alabama In Tuscaloosa,University of Alabama - Tuscaloosa,
714,high,Anglia Polytechnic University,Polytechnic University,
715,high,Hampton University,Hampton University,
716,token-100,Oxford University,Oxford Brookes University,
717,high,University Of Oxford-St. Hilda's College,University of Oxford,st hilda's college
718,high,Kwame Nkrumah University of Science and Technology,Kwame Nkrumah University of Science and Technology,
719,not changed,Beijing Institute Civil Engineering/architecture,Beijing Institute Civil Engineering/architecture,
720,not changed,Adolfo Ibanez University,Adolfo Ibanez University,
721,high,Bard College,Bard College,
722,token-100,Athens School Of Economic And Business Sciences,School of Economic Sciences,
723,high,Haverford College,Haverford College,
724,high,Colgate University,Colgate University,
725,high,Taylor University,Taylor University,
726,not changed,"Calif. Polytechnic State Univ., San Luis Obispo","Calif. Polytechnic State Univ., San Luis Obispo",
727,not changed,ITESM -CCM,ITESM -CCM,
728,high,Sichuan University,Sichuan University,
729,high,University Of Waterloo,University of Waterloo,
730,high,Victoria University Of Wellington,Victoria University of Wellington,
731,high,Universidad De Lima,Universidad de Lima,
732,high,American University In Bulgaria,American University in Bulgaria,
733,not changed,Scuola Superiore Sant'Anna di Studi Univ. e di Perfezionamento,Scuola Superiore Sant'Anna di Studi Univ. e di Perfezionamento,
734,high,Kyunghee University,Kyunghee University,
735,high,Wuhan University of Technology,Wuhan University of Technology,
736,high,"Indian Institute Of Technology, Madras","Indian Institute of Technology, Madras",
737,high,Vietnam National University,National University,
738,high,University Of London-University College,University of London,university college
739,token-98,"Paris Sorbonne University, Paris IV",Université Paris-Sorbonne (Paris IV),
740,high,Agnes Scott College,Agnes Scott College,
741,high,University Of Massachusetts At Amherst,University of Massachusetts at Amherst,
742,high,University Of Minnesota--Duluth,University of Minnesota - Duluth,
743,not changed,Rijksuniversiteit Groningen,Rijksuniversiteit Groningen,
744,ratio-94,Friedrich-Alexander-Universitat Erlangen-Nurnberg,Friedrich-Alexander Universität Erlangen-Nürnberg,
745,not changed,University of Castilla-La Mancha,University of Castilla-La Mancha,
746,high,University Of Canterbury,University of Canterbury,
747,high,Dartmouth College,Dartmouth College,
748,high,Berklee College Of Music,Berklee College of Music,
749,not changed,Eafit University,Eafit University,
750,not changed,Universita Degli Studi Di Trieste,Universita Degli Studi Di Trieste,
751,high,University Of Nigeria,University of Nigeria,
752,high,Katholieke Universiteit Leuven,Katholieke Universiteit Leuven,
753,not changed,Instituto TecnolÃ³gico AutÃ³nomo de MÃ©xico (ITAM),Instituto TecnolÃ³gico AutÃ³nomo de MÃ©xico (ITAM),
754,not changed,LUISS Guido Carli University,LUISS Guido Carli University,
755,not changed,IBMEC,IBMEC,
756,high,Auburn University Main Campus,Auburn University,
757,high,Cornell College,Cornell University,college
758,high,University Of Oxford-St. Catharine's College,University of Oxford,st catharine's college
759,high,University Of Cambridge,University of Cambridge,
760,high,Gonzaga University,Gonzaga University,
761,high,Muhlenberg College,Muhlenberg College,
762,high,Soka University of America,Soka University of America,
763,high,Sung Kyun Kwan University,Sung Kyun Kwan University,
764,not changed,Instituto Tecnologico Autonomo de Mexico ITAM,Instituto Tecnologico Autonomo de Mexico ITAM,
765,not changed,International Academy of Business,International Academy of Business,
766,high,University Of Manchester,University of Manchester,
767,high,Maharaja Sayajirau University Of Baroda,Maharaja Sayajirao University of Baroda,
768,high,Augsburg College,Augsburg College,
769,high,Universidade Federal De Minas Gerais,Universidade Federal de Minas Gerais,
770,high,Rhodes College,Rhodes College,
771,high,University Of Kentucky,University of Kentucky,
772,not changed,Karl-Franzens-Universitat Graz,Karl-Franzens-Universitat Graz,
773,not changed,Universita degli Studi di Roma 'La Sapienza',Universita degli Studi di Roma 'La Sapienza',
774,high,Aoyama Gakuin University,Aoyama Gakuin University,
775,high,"University Of California, San Diego","University of California, San Diego",
776,high,Universidad Nacional De La Plata,Universidad Nacional de La Plata,
777,not changed,Robert Morris University,Robert Morris University,
778,high,Sogang Univesity,Sogang University,
779,high,Universidad De Buenos Aires,Universidad de Buenos Aires,
780,high,"University Of Maryland, Baltimore County",University of Maryland Baltimore County,
781,high,Victoria University Of Technology,Victoria University,
782,high,University Of Dallas,University of Dallas,
783,high,University Of Maryland At College Park (umcp),University of Maryland,college park umcp
784,partial-97,Universidad Catolica De Santiago,Universidad Católica de Santiago del Estero,
785,high,Hanoi National University,National University,
786,not changed,Ecole Centrale De Paris,Ecole Centrale De Paris,
787,high,Connecticut College,Connecticut College,
788,high,Universidad Nacional San Cristobal de Huamanga,Universidad Nacional de San Cristóbal de Huamanga,
789,token-100,University of Potsdam,State University of New York College at Potsdam,
790,high,International Islamic University,International Islamic University,
791,partial-100,Hong Kong Polytechnic,Hong Kong Polytechnic University,
792,high,Universidad Anahuac,Universidad Anáhuac,
793,high,Beijing Foreign Studies University,Beijing Foreign Studies University,
794,high,Kalamazoo College,Kalamazoo College,
795,not changed,University of Brasilia,University of Brasilia,
796,high,University Of London-Royal Holloway College,University of London,royal holloway college
797,high,Loyola Marymount University,Loyola Marymount University,
798,high,Middle Tennessee State University,Middle Tennessee State University,
799,high,Shanghai Jiao Tong University,Shanghai Jiaotong University,
800,high,Loyola University Of Chicago,Loyola University of Chicago,
801,not changed,Manipal Institute Of Technology,Manipal Institute Of Technology,
802,high,Universidade Federal do Rio de Janeiro,Universidade Federal do Rio de Janeiro,
803,not changed,Universite Antilles,Universite Antilles,
804,high,University Of Edinburgh,University of Edinburgh,
805,not changed,Instituto Tecnologico Autonomo de Mexico (ITAM),Instituto Tecnologico Autonomo de Mexico (ITAM),
806,not changed,Academy of National Economy under the Russian Government,Academy of National Economy under the Russian Government,
807,high,Dnipropetrovs'k National University,Dnepropetrovsk National University,
808,high,Loyola University New Orleans,Loyola University New Orleans,
809,ratio-94,Ludwig-Maximillians-Universitat Munchen,Ludwig-Maximilians-Universität München,
810,high,"University Of Michigan, Ann Arbor",University of Michigan,
811,not changed,Universita Cattolica Del Sacro Cuore,Universita Cattolica Del Sacro Cuore,
812,not changed,Universiteit Maastricht,Universiteit Maastricht,
813,high,Soka Univeristy of America,Soka University of America,
814,high,University Of Bergen,University of Bergen,
815,high,Mcmaster University,McMaster University,
816,high,Universidad Catolica Andres Bello,Universidad Católica Andres Bello,
817,not changed,Huhhot,Huhhot,
818,not changed,Universita Degli Studi di Pisa,Universita Degli Studi di Pisa,
819,partial-100,Vanguard University,Vanguard University of Southern California,
820,high,Universidad De Concepcion,Universidad de Concepcion,
821,high,Jadavpur University,Jadavpur University,
822,high,Temple University,Temple University,
823,high,Covenant College,Covenant College,
824,high,Universidad Nacional Mayor De San Marcos,Universidad Nacional Mayor de San Marcos,
825,high,Rheinische Friedrich-Wilhelms-Universitat Bonn,Rheinische Friedrich-Wilhelms Universität Bonn,
826,not changed,Norges Handelshoyskole,Norges Handelshoyskole,
827,high,East China University of Science and Technology,East China University of Science and Technology,
828,high,Lebanese American University,Lebanese American University,
829,high,Trent University,Trent University,
830,high,Zhejiang Gongshang University,Zhejiang Gongshang University,
831,high,University Of Miami,University of Miami,
832,high,Hanyang University,Hanyang University,
833,not changed,Universitat Wien,Universitat Wien,
834,not changed,Johann Wolfgang Goethe-Universitat Frankfurt,Johann Wolfgang Goethe-Universitat Frankfurt,
835,high,Siena College,Siena College,
836,high,Ferdowsi University of Mashhad,Ferdowsi University of Mashhad,
837,ratio-93,Southern Illinois University--Edwardsville,Southern Illinois University at Edwardsville,
838,not changed,University Of Bayreuth,University Of Bayreuth,
839,high,University of Bristol,University of Bristol,
840,not changed,Sophia College for Women,Sophia College for Women,
841,high,Birla Institute Of Technology & Science,Birla Institute of Technology and Science,
842,high,University Of Houston--University Park,University of Houston,
843,high,universidad de los andes,Universidad de Los Andes,
844,not changed,Escola De Administracao De Empresas De Sao Paulo,Escola De Administracao De Empresas De Sao Paulo,
845,high,Indian Institute of Technology Delhi,"Indian Institute of Technology, Delhi",
846,high,University Of South Carolina,University of South Carolina,
847,high,Kenyon College,Kenyon College,
848,high,St. Vincent College,St. Vincent College,
849,not changed,Ryerson Polytechnic Institute,Ryerson Polytechnic Institute,
850,high,Open University Of Israel,Open University of Israel,
851,high,Keio University,Keio University,
852,partial-100,Huaqiao University,Huaqiao University Quanzhuo,
853,high,University College Utrecht (Utrecht University),Utrecht University,university college utrecht
854,high,University Of Minnesota-Morris,University of Minnesota - Morris,
855,ratio-91,Helsinki School Of Econ. & Business Administration,Helsinki School of Economics and Business Administration,
856,high,University of St. Andrews,University of St. Andrews,
857,high,University Of Manitoba,University of Manitoba,
858,high,Pontificia Universidad Catolica Del Ecuador,Pontificia Universidad Católica del Ecuador,
859,high,Xian Jiaotong University,Xi'an Jiaotong University,
860,high,Occidental College,Occidental College,
861,high,University of Science and Technology of China,University of Science and Technology of China,
862,high,Beijing Forestry University,Beijing Forestry University,
863,high,University Of Colorado At Denver,University of Colorado at Denver,
864,high,Ohio University,Ohio University,
865,high,Mersin University,Mersin University,
866,high,La Trobe University,La Trobe University,
867,high,Harvey Mudd College,Harvey Mudd College,
868,high,Creighton University,Creighton University,
869,high,University Of Science And Technology Beijing,University of Science and Technology Beijing,
870,high,St. Mary's College Of Maryland,St. Mary's College of Maryland,
871,high,"Long Island University, C. W. Post Center",Long Island University,c w post center
872,high,University Of South Florida,University of South Florida,
873,high,University Of Central Florida,University of Central Florida,
874,partial-100,Virginia Polytechnic Institute and State University,Virginia Polytechnic Institute and State University (Virginia Tech),
875,high,University Of Kerala,University of Kerala,
876,high,"California State University, Fullerton","California State University, Fullerton",
877,high,Virginia Commonwealth University,Virginia Commonwealth University,
878,high,Suffolk University,Suffolk University,
879,partial-96,Escola Politecnica da Universidade de Sao Paulo,Universidade de São Paulo,
880,ratio-93,Universidad Cristobal Colon,Universidad Cristóbal Colón,
881,not changed,Humboldt University of Berlin,Humboldt University of Berlin,
882,high,Union College,Union College,
883,high,Kansas State University,Kansas State University,
884,not changed,MS Ramaiah institute Of Technology,MS Ramaiah institute Of Technology,
885,not changed,University Of Indonesia,University Of Indonesia,
886,high,Iowa State University of Science and Technology,Iowa State University of Science and Technology,
887,not changed,Pont Univ of the Holy Cross,Pont Univ of the Holy Cross,
888,high,El Colegio De Mexico,El Colegio de México,
889,high,University Of Nebraska At Omaha,University of Nebraska - Omaha,
890,high,New Economic School,New Economic School,
891,not changed,Universite De Neuchatel,Universite De Neuchatel,
892,not changed,Center for Economic Research & Graduate Education-Econ. Inst.,Center for Economic Research & Graduate Education-Econ. Inst.,
893,high,Central Michigan University,Central Michigan University,
894,not changed,Chinese Academy Of Social Sciences,Chinese Academy Of Social Sciences,
895,high,Universidad Autonoma De Madrid,Universidad Autónoma de Madrid,
896,high,Barcelona Graduate School of Economics,Barcelona Graduate School of Economics,
897,not changed,Collegio Carlo Alberto,Collegio Carlo Alberto,
898,high,York University,York University,
899,high,Georgia State University,Georgia State University,
900,high,University Of Oxford-Nuffield College,University of Oxford,nuffield college
901,high,Queens University,Queens University,
902,high,Gordon-Conwell Theological Seminary,Gordon Conwell Theological Seminary,
903,high,TERI University,Tenri University,
904,high,Tbilisi State University,Tbilisi State University,
905,not changed,Ecoles Des Hautes Etudes En Sciences Sociales,Ecoles Des Hautes Etudes En Sciences Sociales,
906,high,"University of Banja Luka, Faculty of Economics",University of Banja Luka,
907,high,University Of Denver,University of Denver,
908,partial-97,Otto-von-Guericke Universitat,Otto-von-Guericke Universität Magdeburg,
909,high,University Of Nottingham,University of Nottingham,
910,high,University Of Cambridge-Clare Hall,University of Cambridge,
911,high,University Of Essex,University of Essex,
912,not changed,The Graduate Institute Of International and Development Studies,The Graduate Institute Of International and Development Studies,
913,high,Western Illinois University,Western Illinois University,
914,not changed,Universita degli Studi di Roma Tor Vergata (CIES),Universita degli Studi di Roma Tor Vergata (CIES),
915,high,National Tsing Hua University,National Tsinghua University,
916,high,Hosei University,Hosei University,
917,high,State University Of New York At Albany,State University of New York at Albany,
918,high,Cranfield University,Cranfield University,
919,high,Illinois Institute Of Technology,Illinois Institute of Technology,
920,high,University Of Dar Es Salaam,University of Dar Es Salaam,
921,high,Universite Des Sciences Sociales (toulouse I),Université des Sciences Sociales (Toulouse I),
922,not changed,UniversitÃ  degli studi di Roma Tor Vergata,UniversitÃ  degli studi di Roma Tor Vergata,
923,high,University Of Greenwich,University of Greenwich,
924,ratio-91,Institute for Advanced Studies,Institute for Advanced Studies Lucca,
925,high,Montana State University,Montana State University,
926,not changed,Centro De Estudios Monetarios Y Financieros,Centro De Estudios Monetarios Y Financieros,
927,high,Pepperdine University,Pepperdine University,
928,high,Indian Statistical Institute,Indian Statistical Institute,
929,high,Murdoch University,Murdoch University,
930,high,University of Bologna,University of Bologna,
931,ratio-94,Shahid Beheshti University,Shaheed Beheshti University,
932,high,University Of Cambridge-Peterhouse,University of Cambridge,
933,not changed,Universite Toulouse I,Universite Toulouse I,
934,token-100,Humboldt University,Humboldt State University,
935,high,State University Of New York At Buffalo,State University of New York at Buffalo,
936,not changed,Johns Hopkins Univ. Paul H. Nitze School of Adv. Int'l Studies,Johns Hopkins Univ. Paul H. Nitze School of Adv. Int'l Studies,
937,high,Presidency University,Presidency University,
938,not changed,"Postgradaute Institute of Management, University of Sri Jayeward","Postgradaute Institute of Management, University of Sri Jayeward",
939,not changed,Humboldt University in Berlin,Humboldt University in Berlin,
940,high,Waseda University,Waseda University,
941,high,"California State University, Hayward","California State University, Hayward",
942,high,Vrije Universiteit Brussel,Vrije Universiteit Brussel,
943,high,Stockholm School Of Economics,Stockholm School of Economics,
944,high,"Indian Institute Of Technology, Kanpur","Indian Institute of Technology, Kanpur",
945,not changed,Ecole Superieure d'Electricite-SUPELEC,Ecole Superieure d'Electricite-SUPELEC,
946,high,Kyiv School of Economics,Kiev School Of Economics,
947,high,Wroclaw University of Technology,University of Technology,
948,not changed,Indian Institute of Management Ahmedabad,Indian Institute of Management Ahmedabad,
949,high,Roosevelt University,Roosevelt University,
950,high,University Of Guelph,University of Guelph,
951,not changed,Bergische Universitaet Wuppertal,Bergische Universitaet Wuppertal,
952,high,"Columbia University, Barnard College",Columbia University,barnard college
953,not changed,Toulouse school of Economics(M2),Toulouse school of Economics(M2),
954,high,Georgia Institute Of Technology,Georgia Institute of Technology,
955,high,University Of Missouri--Kansas City,University of Missouri - Kansas City,
956,token-100,Universidad Colegio Mayor de Nuestra Senora del Ro,Universidad Mayor,
957,not changed,"Korea Development Institute, School of Pub. Policy & Management","Korea Development Institute, School of Pub. Policy & Management",
958,high,Oklahoma State University--Main Campus,Oklahoma State University,
959,high,University Of Leicester,University of Leicester,
960,not changed,Groupe HEC,Groupe HEC,
961,high,University Of Memphis,University of Memphis,
962,high,University Of Wisconsin--Milwaukee,University of Wisconsin - Milwaukee,
963,high,University Of Cambridge-Pembroke College,University of Cambridge,pembroke college
964,high,Kent State University,Kent State University,
965,not changed,Universita Commerciale 'Luigi Bocconi',Universita Commerciale 'Luigi Bocconi',
966,ratio-91,Tulane University,Ulsan University,
967,not changed,Instituto De Matematica Pura E Aplicada,Instituto De Matematica Pura E Aplicada,
968,high,Pontificia Universidad Catolica Del Peru,Pontificia Universidad Católica del Perú,
969,high,Azusa Pacific University,Azusa Pacific University,
970,not changed,Instituto TecnÃ³logico de MÃ©xico (ITAM),Instituto TecnÃ³logico de MÃ©xico (ITAM),
971,high,University Of Texas At Dallas,University of Texas at Dallas,
972,high,Institute Of Social Studies,Institute of Social Studies,
973,high,University Of North Carolina At Charlotte,University of North Carolina at Charlotte,
974,high,University Of Kent At Canterbury,University of Kent,
975,high,San Francisco State University,San Francisco State University,
976,high,University of Oulu,University of Oulu,
977,high,University Of Wisconsin- Madison,University of Wisconsin - Madison,
978,high,Universidad Alberto Hurtado,Universidad Alberto Hurtado,
979,not changed,UFSCAR,UFSCAR,
980,high,University Of Helsinki,University of Helsinki,
981,high,Xi`an Jiaotong University,Xi'an Jiaotong University,
982,high,Florida Atlantic University,Florida Atlantic University,
983,high,"California State University, Long Beach","California State University, Long Beach",
984,not changed,Centre for Development Studies,Centre for Development Studies,
985,high,Washington State University,Washington State University,
